date,item,forecast_qty
2024-01-01,cake,9.285714285714286
2024-01-02,cake,9.285714285714286
2024-01-03,cake,9.285714285714286
2024-01-04,cake,9.285714285714286
2024-01-05,cake,9.285714285714286
2024-01-06,cake,9.285714285714286
2024-01-07,cake,9.285714285714286
2024-01-08,cake,9.285714285714286
2024-01-09,cake,9.285714285714286
2024-01-10,cake,9.285714285714286
2024-01-11,cake,9.285714285714286
2024-01-12,cake,9.285714285714286
2024-01-13,cake,9.285714285714286
2024-01-14,cake,9.285714285714286
2024-01-15,cake,9.285714285714286
2024-01-16,cake,9.285714285714286
2024-01-17,cake,9.285714285714286
2024-01-18,cake,9.285714285714286
2024-01-19,cake,9.285714285714286
2024-01-20,cake,9.285714285714286
2024-01-21,cake,9.285714285714286
2024-01-22,cake,9.285714285714286
2024-01-23,cake,9.285714285714286
2024-01-24,cake,9.285714285714286
2024-01-25,cake,9.285714285714286
2024-01-26,cake,9.285714285714286
2024-01-27,cake,9.285714285714286
2024-01-28,cake,9.285714285714286
2024-01-29,cake,9.285714285714286
2024-01-30,cake,9.285714285714286
2024-01-01,coffee,5.857142857142857
2024-01-02,coffee,5.857142857142857
2024-01-03,coffee,5.857142857142857
2024-01-04,coffee,5.857142857142857
2024-01-05,coffee,5.857142857142857
2024-01-06,coffee,5.857142857142857
2024-01-07,coffee,5.857142857142857
2024-01-08,coffee,5.857142857142857
2024-01-09,coffee,5.857142857142857
2024-01-10,coffee,5.857142857142857
2024-01-11,coffee,5.857142857142857
2024-01-12,coffee,5.857142857142857
2024-01-13,coffee,5.857142857142857
2024-01-14,coffee,5.857142857142857
2024-01-15,coffee,5.857142857142857
2024-01-16,coffee,5.857142857142857
2024-01-17,coffee,5.857142857142857
2024-01-18,coffee,5.857142857142857
2024-01-19,coffee,5.857142857142857
2024-01-20,coffee,5.857142857142857
2024-01-21,coffee,5.857142857142857
2024-01-22,coffee,5.857142857142857
2024-01-23,coffee,5.857142857142857
2024-01-24,coffee,5.857142857142857
2024-01-25,coffee,5.857142857142857
2024-01-26,coffee,5.857142857142857
2024-01-27,coffee,5.857142857142857
2024-01-28,coffee,5.857142857142857
2024-01-29,coffee,5.857142857142857
2024-01-30,coffee,5.857142857142857
2024-01-01,cookie,9.0
